ID,Formula,Tube_barcode,Vial_barcode,MW,Purity,Tube_amount_mg,Concentration (mM),Vol DMSO (ul),Plate_ID,Box_ID,Plate_well,Box_coord,Store order #
Z25172100771,NULL,FD144124481,Z25172100771,266.286,100,1.2,20,225.32,FH001074511,FH00107451*1,A02,02_A,
Z34903658722,NULL,FD144124842,Z34903658722,212.247,93,1.2,20,282.69,FH001074512,FH00107451*2,B02,02_B,
Z24914031123,NULL,FD144145273,Z24914031123,203.237,100,1.2,20,295.22,FH001074513,FH00107451*3,C02,02_C,
Z28675296504,NULL,FD144141394,Z28675296504,177.203,100,1.2,20,338.59,FH001074514,FH00107451*4,D02,02_D,
Z19647162655,NULL,FD144122955,Z19647162655,169.22,96,1.1,20,325.02,FH001074515,FH00107451*5,E02,02_E,
Z34856921366,NULL,FD144123656,Z34856921366,258.358,90,1.1,20,212.88,FH001074516,FH00107451*6,F02,02_F,
Z34886350247,NULL,FD144122497,Z34886350247,215.29,100,1.1,20,255.47,FH001074517,FH00107451*7,G02,02_G,
Z27382834808,NULL,FD144142368,Z27382834808,207.656,100,1.2,20,288.94,FH001074518,FH00107451*8,H02,02_H,
Z28675296709,NULL,FD144142129,Z28675296709,253.295,100,1.1,20,217.14,FH001074519,FH00107451*9,A03,03_A,
Z349036631610,NULL,FD1441258210,Z349036631610,173.184,91,1.2,20,346.45,FH0010745110,FH00107451*10,B03,03_B,
Z228537805611,NULL,FD1441443411,Z228537805611,253.299,100,1.2,20,236.87,FH0010745111,FH00107451*11,C03,03_C,
Z228537812512,NULL,FD1441222912,Z228537812512,217.267,92,1.1,20,253.14,FH0010745112,FH00107451*12,D03,03_D,
Z344503593313,NULL,FD1441235713,Z344503593313,201.224,100,1.1,20,273.33,FH0010745113,FH00107451*13,E03,03_E,
Z251721174314,NULL,FD1441407814,Z251721174314,224.322,93,1.1,20,245.18,FH0010745114,FH00107451*14,F03,03_F,
Z349036564115,NULL,FD1441417215,Z349036564115,221.227,100,1.2,20,271.21,FH0010745115,FH00107451*15,G03,03_G,
Z275639705516,NULL,FD1441442116,Z275639705516,211.3,100,1.1,20,260.29,FH0010745116,FH00107451*16,H03,03_H,
Z348862075817,NULL,FD1441236017,Z348862075817,236.333,100,1.2,20,253.88,FH0010745117,FH00107451*17,A04,04_A,
Z349036624518,NULL,FD1441238518,Z349036624518,259.343,100,1.2,20,231.35,FH0010745118,FH00107451*18,B04,04_B,
Z381690284619,NULL,FD1441410219,Z381690284619,233.309,100,1.1,20,235.74,FH0010745119,FH00107451*19,C04,04_C,
Z193836961220,NULL,FD1441244620,Z193836961220,255.314,100,1.1,20,215.42,FH0010745120,FH00107451*20,D04,04_D,
Z432345678821,NULL,FD1441434121,Z432345678821,297.752,97,1.1,20,184.72,FH0010745121,FH00107451*21,E04,04_E,
Z333754013822,NULL,FD1441434322,Z333754013822,206.241,100,1.1,20,266.68,FH0010745122,FH00107451*22,F04,04_F,
Z302476750223,NULL,FD1441246023,Z302476750223,219.282,100,1.1,20,250.82,FH0010745123,FH00107451*23,G04,04_G,
Z228537784324,NULL,FD1441434924,Z228537784324,211.3,100,1.2,20,283.96,FH0010745124,FH00107451*24,H04,04_H,
Z273828470825,NULL,FD1441445325,Z273828470825,226.273,98,1.2,20,265.17,FH0010745125,FH00107451*25,A05,05_A,
Z302476805726,NULL,FD1441226426,Z302476805726,258.272,100,1.1,20,212.95,FH0010745126,FH00107451*26,B05,05_B,
Z268730905927,NULL,FD1441445527,Z268730905927,187.211,100,1.1,20,293.79,FH0010745127,FH00107451*27,C05,05_C,
Z302476343428,NULL,FD1441407628,Z302476343428,193.245,97,1.1,20,284.61,FH0010745128,FH00107451*28,D05,05_D,
Z332509206929,NULL,FD1441433929,Z332509206929,265.735,100,1.1,20,206.97,FH0010745129,FH00107451*29,E05,05_E,
Z228537808230,NULL,FD1441220030,Z228537808230,246.28,100,1.2,20,243.63,FH0010745130,FH00107451*30,F05,05_F,
